Meeting_Date,Company,Symbol,Industry,SubIndustry,Proposal_Type_General,Proposal_Type_Specific,Title,Proponent_Type_General,Proponent Type_Specific,Proponent,Votes_For
5/1/2024,Fluor Corp,,Utilities,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
4/30/2024,United States Steel Corp,,Information Technology,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.97
4/30/2024,Int'l Business Machines Corp,IBM,Materials,Banks,Social Policy,Environmental,Adoption of Greenhouse Gas Emissions Targets,Social,Socially Responsible Investing Funds,Green Century Capital Management,0.31
4/30/2024,Int'l Business Machines Corp,IBM,Materials,Real Estate Investment Trusts,Social Policy,Lobbying,Report on Climate Lobbying,Individual,Individual,James McRitchie,0.32
4/30/2024,Int'l Business Machines Corp,IBM,Financials,"Pharmaceuticals, Biotechnology and Life Sciences",Corporate Governance,Written Consent,Shareholder Right to Act by Written Consent,Individual,Individual,Kenneth Steiner,0.43
4/30/2024,Int'l Business Machines Corp,IBM,Utilities,Media and Entertainment,Social Policy,Human Rights,Report on Congruency in China Business Operations and ESG Activities,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.06
4/30/2024,Int'l Business Machines Corp,IBM,Financials,Software and Services,Social Policy,Lobbying,Transparency in Lobbying,Individual,Individual,John Chevedden,0.38
4/30/2024,Int'l Business Machines Corp,IBM,Consumer Discretionary,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
4/30/2024,Exelon Corp,,Telecommunication Services,Real Estate Investment Trusts,Corporate Governance,Special Meetings,Adopt Shareholder Right to Call a Special Shareholder Meeting,Other,Undisclosed,N/A - Undisclosed,0.34
4/30/2024,Exelon Corp,,Consumer Staples,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
4/30/2024,PACCAR Inc.,,Consumer Staples,Specialty Chemicals,Social Policy,Climate Risk,Report on Corporate Climate Lobbying in Line with Paris Agreement,Social,Socially Responsible Investing Funds,Calvert Asset Mgmt. Co.,0.28
4/30/2024,PACCAR Inc.,,Consumer Discretionary,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
4/30/2024,"The Williams Companies, Inc.",,Energy,Specialty Chemicals,Social Policy,Climate Risk,Limit Upstream Flaring,Labor,State/City Specific Public Employee Pension Funds,Vermont Pension Investment Committee,0.00
4/30/2024,"The Williams Companies, Inc.",,Information Technology,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
4/30/2024,Citigroup Inc.,,Information Technology,Retailing,Social Policy,Animal Rights,Report on Material Risks Associated with Animal Welfare.,Social,Socially Responsible Investing Funds,"Harrington Investments, Inc.",0.08
4/30/2024,Citigroup Inc.,,Materials,Banks,Social Policy,Human Rights,Report on Risks of Politicized De-banking,Social,Public Policy Interest Groups,American Family Association,0.02
4/30/2024,Citigroup Inc.,,Consumer Staples,Integrated Oil and Gas,Social Policy,Diversity,"Report on Risks Created by the Company’s Diversity, Equity, and Inclusion Efforts",Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
4/30/2024,Citigroup Inc.,,Telecommunication Services,Integrated Oil and Gas,Corporate Governance,Director Resignation Bylaw Processes,Director Election Resignation Bylaw,Labor,State/City Specific Public Employee Pension Funds,NYC Carpenters Pension Fund,0.00
4/30/2024,Citigroup Inc.,,Real Estate,Electric Utilities,Social Policy,Human Rights,Report on Respecting Indigenous Peoples’  Rights,Social,Religious Institutions,Sisters of St. Joseph of Peace,0.26
4/30/2024,Citigroup Inc.,,Materials,Electric Utilities,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,Kenneth Steiner,0.16
4/30/2024,Citigroup Inc.,,Information Technology,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
4/30/2024,Wells Fargo & Co,,Industrials,Software and Services,Social Policy,Human Rights,Report on Risks of Politicized De-banking,Social,Public Policy Interest Groups,American Conservative Values ,0.03
4/30/2024,Wells Fargo & Co,,Telecommunication Services,Real Estate Investment Trusts,Social Policy,Lobbying,Transparency in Lobbying Annual Report,Individual,Individual,John Chevedden,0.35
4/30/2024,Wells Fargo & Co,,Real Estate,Food Beverage and Tobacco,Social Policy,Political Spending,Report on Congruency of Political Spending & Corporate Values,Social,Socially Responsible Investing Funds,"Harrington Investments, Inc.",0.25
4/30/2024,Wells Fargo & Co,,Utilities,Banks,Social Policy,Climate Risk,Climate Lobbying Congruency Report,Social,Religious Institutions,Sisters of St. Francis,0.27
4/30/2024,Wells Fargo & Co,,Materials,Specialty Chemicals,Social Policy,Climate Risk,Audit of Climate Transition Policies,Social,Public Policy Interest Groups,National Legal and Policy Center,0.03
4/30/2024,Wells Fargo & Co,,Real Estate,Integrated Oil and Gas,Social Policy,Human Rights,Report on Respecting Indigenous Peoples’ Rights,Social,Religious Institutions,American Baptist Home Mission Society,0.24
4/30/2024,Wells Fargo & Co,,Financials,Media and Entertainment,Social Policy,Human Rights,3rd Party Assessment of Respect for Freedom of Association & Collective Bargaining,Labor,General Private Labor Union Pension Funds,AFL-CIO,0.30
4/30/2024,Wells Fargo & Co,,Health Care,Banks,Social Policy,Employment Rights,Annual Report on Prevention of Workplace Harassment & Discrimination,Labor,State/City Specific Public Employee Pension Funds,New York State Common Retirement Fund,0.28
4/30/2024,Wells Fargo & Co,,Consumer Discretionary,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
4/30/2024,PBF Energy Inc.,,Industrials,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.97
4/29/2024,Genuine Parts Co,,Utilities,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
4/26/2024,Abbott Laboratories,,Telecommunication Services,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.89
4/26/2024,Kellanova,,Consumer Staples,Specialty Chemicals,Social Policy,Environmental,Reduce Company Greenwashing Risk,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
4/26/2024,Kellanova,,Financials,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Pesticide Use,Report on Company Risks Associated with Pesticide Use in its Supply Chain,Social,Socially Responsible Investing Funds,As You Sow,0.21
4/26/2024,Kellanova,,Energy,Capital Goods,Social Policy,Gender/Racial Equality,Racial and Gender Pay Gap Disclosures,Individual,Individual,James McRitchie,0.20
4/26/2024,Kellanova,,Real Estate,Specialty Chemicals,Corporate Governance,Chairman Independence,Adopt Policy Requiring the Board Chair to be Independent Director,Social,Socially Responsible Investing Funds,The Accountability Board,0.32
4/26/2024,Kellanova,,Industrials,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
4/26/2024,"Leidos Holdings, Inc.",,Information Technology,Media and Entertainment,Corporate Governance,Special Meetings,Special Shareholder Meeting Improvement,Individual,Individual,Kenneth Steiner,0.25
4/26/2024,"Leidos Holdings, Inc.",,Telecommunication Services,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
4/26/2024,"Stanley Black & Decker, Inc.",,Consumer Staples,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
4/25/2024,Edison Int'l,,Health Care,Specialty Chemicals,Social Policy,Lobbying,Transparency In Lobbying,Individual,Individual,John Chevedden,0.17
4/25/2024,Edison Int'l,,Real Estate,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
4/25/2024,"HCA Healthcare, Inc.",,Real Estate,Retailing,Social Policy,Health Care,Report on Maternal Health Outcomes,Labor,State/City Specific Public Employee Pension Funds,New York State Common Retirement Fund,0.08
4/25/2024,"HCA Healthcare, Inc.",,Consumer Discretionary,Capital Goods,Social Policy,Health Care,Report on Patient Feedback Regarding Quality of Care,Other,Hedge Fund,Bright Start 529 Plan IL State Treasurer,0.15
4/25/2024,"HCA Healthcare, Inc.",,Utilities,Integrated Oil and Gas,Social Policy,Health Care,Report on Risk Mitigation Regarding State Restrictions for Emergency Abortions,Social,Religious Institutions,United Church Funds,0.08
4/25/2024,"HCA Healthcare, Inc.",,Utilities,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
4/25/2024,"NRG Energy, Inc	.",,Health Care,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.79
4/25/2024,The ODP Corp,,Utilities,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
4/25/2024,Texas Instruments Inc,TXN,Consumer Staples,Software and Services,Social Policy,Human Rights,Report on Due Diligence Efforts to Trace Customer Misuse of Products,Social,Socially Responsible Investing Funds,Friends Fiduciary Corp.,0.17
4/25/2024,Texas Instruments Inc,TXN,Health Care,Media and Entertainment,Corporate Governance,Special Meetings,Special Shareholder Meeting Improvement,Individual,Individual,John Chevedden,0.43
4/25/2024,Texas Instruments Inc,TXN,Utilities,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.78
4/25/2024,Pfizer Inc.,,Utilities,Banks,Social Policy,Charitable Giving,Report on Corporate Contributions,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.04
4/25/2024,Pfizer Inc.,,Energy,Media and Entertainment,Corporate Governance,Director Resignation Bylaw Processes,Amend Director Resignation Processes,Labor,State/City Specific Public Employee Pension Funds,NYC Carpenters Pension Fund,0.00
4/25/2024,Pfizer Inc.,,Telecommunication Services,Media and Entertainment,Social Policy,Political Spending,Political Contributions Congruency Report,Social,Public Policy Interest Groups,Tara Health Foundation,0.14
4/25/2024,Pfizer Inc.,,Utilities,Electric Utilities,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,Kenneth Steiner,0.35
4/25/2024,Pfizer Inc.,,Real Estate,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.91
4/25/2024,Johnson & Johnson,,Energy,Banks,Social Policy,Health Care,Impact of Extended Patent Exclusivities on Product Access,Social,Religious Institutions,Mercy Investment Services,0.00
4/25/2024,Johnson & Johnson,,Energy,Capital Goods,Social Policy,Employment Rights,Report on Gender-based Compensation & Health Benefit Gaps,Social,Public Policy Interest Groups,National Legal and Policy Center,0.04
4/25/2024,Johnson & Johnson,,Financials,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.90
4/25/2024,AGCO Corp,,Materials,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
4/25/2024,The AES Corp,,Telecommunication Services,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
4/24/2024,"Ameriprise Financial, Inc.",,Industrials,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.89
4/24/2024,Textron Inc.,,Financials,Electric Utilities,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,Kenneth Steiner,0.33
4/24/2024,Textron Inc.,,Information Technology,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
4/24/2024,"The PNC Financial Services Grp, Inc.",,Telecommunication Services,Integrated Oil and Gas,Social Policy,Human Rights,Report on Risk Management & Implementation of PNC's Human Rights Statement,Social,Religious Institutions,Maryknoll Sisters of St. Dominic,0.10
4/24/2024,"The PNC Financial Services Grp, Inc.",,Consumer Discretionary,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
4/24/2024,"AutoNation, Inc.",,Energy,Specialty Chemicals,Social Policy,Political Spending,Transparency in Political Spending,Individual,Individual,John Chevedden,0.27
4/24/2024,"AutoNation, Inc.",,Information Technology,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.98
4/24/2024,Bank of America Corp,,Materials,Capital Goods,Executive Compensation,Exec Pay Comparison,Improve Executive Compensation Program,Individual,Individual,Jing Zhao,0.07
4/24/2024,Bank of America Corp,,Utilities,Retailing,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,John Chevedden,0.31
4/24/2024,Bank of America Corp,,Consumer Staples,Integrated Oil and Gas,Corporate Governance,Written Consent,Right to Act by Written Consent,Individual,Individual,Kenneth Steiner,0.13
4/24/2024,Bank of America Corp,,Consumer Staples,Food Beverage and Tobacco,Social Policy,Climate Risk,Clean Energy Supply Financing Ratio,Labor,State/City Specific Public Employee Pension Funds,New York City Employees' Retirement System,0.26
4/24/2024,Bank of America Corp,,Real Estate,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Climate Risk,Lobbying Misalignment with Climate Goals,Social,Socially Responsible Investing Funds,Trillium Asset Management,0.27
4/24/2024,Bank of America Corp,,Consumer Staples,Specialty Chemicals,Social Policy,Human Rights,Report on Risks of Politicized De-banking,Other,Investment Adviser,Bowyer Research,0.03
4/24/2024,Bank of America Corp,,Consumer Discretionary,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.91
4/24/2024,Newmont Corp,,Materials,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
4/24/2024,Marathon Petroleum Corp,,Financials,Media and Entertainment,Voting Rules,Simple Majority Voting,Simple Majority Vote,Individual,Individual,John Chevedden,0.38
4/24/2024,Marathon Petroleum Corp,,Energy,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
4/24/2024,Eaton Corp plc,,Information Technology,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
4/24/2024,"The Goldman Sachs Grp, Inc.",,Materials,Integrated Oil and Gas,Corporate Governance,Director Resignation Bylaw Processes,Director Election Resignation Bylaw,Labor,State/City Specific Public Employee Pension Funds,NYC Carpenters Pension Fund,0.00
4/24/2024,"The Goldman Sachs Grp, Inc.",,Utilities,Capital Goods,Social Policy,Gender/Racial Equality,Pay Equity Reporting,Social,Socially Responsible Investing Funds,Newground Social Investment,0.30
4/24/2024,"The Goldman Sachs Grp, Inc.",,Information Technology,Electric Utilities,Social Policy,Climate Risk,Financial Statement Assumptions Regarding Climate Change,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
4/24/2024,"The Goldman Sachs Grp, Inc.",,Materials,Specialty Chemicals,Social Policy,Climate Risk,Review GSAM's Proxy Voting Review of Climate Risk Related Proposals,Social,Religious Institutions,Presbyterian Church (USA),0.08
4/24/2024,"The Goldman Sachs Grp, Inc.",,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Environmental,Clean Energy Supply Financing Ratio,Labor,State/City Specific Public Employee Pension Funds,NYC Comptroller's Office,0.29
4/24/2024,"The Goldman Sachs Grp, Inc.",,Consumer Discretionary,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Environmental,Environmental Justice Impact Assessment,Social,Public Policy Interest Groups,Sierra Club Foundation,0.10
4/24/2024,"The Goldman Sachs Grp, Inc.",,Telecommunication Services,Media and Entertainment,Social Policy,Employment Rights,Report on Efforts Regarding Protected Classes of Employees,Social,Social - Other,The Nathan Cummings Foundation,0.15
4/24/2024,"The Goldman Sachs Grp, Inc.",,Real Estate,Banks,Social Policy,Lobbying,Transparency in Lobbying,Individual,Individual,John Chevedden,0.39
4/24/2024,"The Goldman Sachs Grp, Inc.",,Industrials,Integrated Oil and Gas,Corporate Governance,Chairman Independence,Independent Board Chair,Social,Public Policy Interest Groups,National Legal and Policy Center,0.33
4/24/2024,"The Goldman Sachs Grp, Inc.",,Financials,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.86
4/24/2024,The Cigna Grp,,Financials,Electric Utilities,Social Policy,Diversity,"Report on Risks Created by the Company's Diversity, Equity, and Inclusion Efforts",Social,Public Policy Interest Groups,National Center for Public Policy Research,0.02
4/24/2024,The Cigna Grp,,Real Estate,Food Beverage and Tobacco,Corporate Governance,Special Meetings,Improve the Shareholder Right to Call a Special Shareholder Meeting,Individual,Individual,John Chevedden,0.48
4/24/2024,The Cigna Grp,,Industrials,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.83
4/23/2024,Truist Financial Corp,,Utilities,Banks,Social Policy,Civil Rights Audit,Report on Board Oversight of Risks Related to Discrimination,Individual,Individual,David Bahnsen,0.02
4/23/2024,Truist Financial Corp,,Industrials,Banks,Social Policy,Lobbying,Report on Lobbying,Individual,Individual,Kenneth Steiner,0.41
4/23/2024,Truist Financial Corp,,Financials,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.89
4/23/2024,"American Electric Power Co, Inc.",,Energy,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
4/22/2024,HP Inc.,HPQ,Consumer Staples,Retailing,Executive Compensation,Golden Parachutes,Stockholder Ratification of Excessive Termination Pay,Individual,Individual,John Chevedden,0.08
4/22/2024,HP Inc.,HPQ,Materials,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
4/19/2024,"L3Harris Technologies, Inc.",,Materials,Food Beverage and Tobacco,Social Policy,Lobbying,Transparency in Lobbying,Individual,Individual,John Chevedden,0.32
4/19/2024,"L3Harris Technologies, Inc.",,Health Care,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
4/18/2024,Humana Inc.,,Utilities,Real Estate Investment Trusts,Voting Rules,Simple Majority Voting,Simple Majority Vote,Individual,Individual,John Chevedden,0.51
4/18/2024,Humana Inc.,,Materials,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.91
4/18/2024,"PPG Industries, Inc.",,Industrials,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
4/16/2024,Whirlpool Corp,,Health Care,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.85
4/16/2024,Public Service Enterprise Grp Inc,,Consumer Staples,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
4/16/2024,U.S. Bancorp,,Real Estate,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
4/11/2024,Dow Inc.,,Health Care,Real Estate Investment Trusts,Social Policy,Environmental,Single-Use Plastics Report,Social,Socially Responsible Investing Funds,As You Sow,0.26
4/11/2024,Dow Inc.,,Industrials,Electric Utilities,Corporate Governance,Written Consent,Shareholder Right to Act by Written Consent,Individual,Individual,Kenneth Steiner,0.43
4/11/2024,Dow Inc.,,Health Care,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
4/9/2024,The Bank of New York Mellon Corp.,,Health Care,Integrated Oil and Gas,Social Policy,Human Rights,Report on Risks of Politicized De-banking,Social,Public Policy Interest Groups,American Family Association,0.03
4/9/2024,The Bank of New York Mellon Corp.,,Financials,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Lobbying,Transparency in Lobbying,Individual,Individual,Kenneth Steiner,0.38
4/9/2024,The Bank of New York Mellon Corp.,,Utilities,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
4/8/2024,The Goodyear Tire & Rubber Co,,Telecommunication Services,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
4/3/2024,The Walt Disney Co,,Real Estate,Retailing,Corporate Governance,Advisory Vote on Board Size,Advisory Vote on Board Size and Related Vacancies,Other,Hedge Fund,Blackwells Group,0.03
4/3/2024,The Walt Disney Co,,Real Estate,Electric Utilities,Corporate Governance,Require Shareholder Vote on Bylaws,Amendment to the Bylaws,Other,Hedge Fund,Trian Fund Mgmt.,0.29
4/3/2024,The Walt Disney Co,,Consumer Discretionary,Banks,Social Policy,Charitable Giving,Charitable Giving Reporting,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.04
4/3/2024,The Walt Disney Co,,Energy,Real Estate Investment Trusts,Social Policy,Gender/Racial Equality,Report on Gender Transitioning Compensation and Benefits,Social,Public Policy Interest Groups,National Legal and Policy Center,0.02
4/3/2024,The Walt Disney Co,,Telecommunication Services,Food Beverage and Tobacco,Social Policy,Political Spending,Political Expenditures Misalignment with Company Values,Social,Social - Other,Educational Foundation of America,0.25
4/3/2024,The Walt Disney Co,,Industrials,Integrated Oil and Gas,Executive Compensation,Golden Parachutes,Shareholder Ratification of Excessive Golden Parachutes,Individual,Individual,Kenneth Steiner,0.08
4/3/2024,The Walt Disney Co,,Information Technology,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.79
3/28/2024,Jefferies Financial Grp Inc.,,Real Estate,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.72
3/20/2024,TD SYNNEX Corp,,Health Care,Retailing,Voting Rules,Simple Majority Voting,Simple Majority Vote,Individual,Individual,John Chevedden,0.41
3/20/2024,TD SYNNEX Corp,,Information Technology,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
3/19/2024,AECOM,,Consumer Discretionary,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
3/13/2024,Starbucks Corp,,Consumer Discretionary,Capital Goods,Social Policy,Human Rights,Congruency Report on Human Rights,Social,Public Policy Interest Groups,National Legal and Policy Center,0.02
3/13/2024,Starbucks Corp,,Financials,Electric Utilities,Social Policy,Employment Rights,Report on Direct or Systemic Discrimination,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
3/13/2024,Starbucks Corp,,Consumer Discretionary,Food Beverage and Tobacco,Social Policy,Community Impact,Report on Plant-Based Milk Pricing,Social,Social - Other,PETA,0.05
3/13/2024,Starbucks Corp,,Health Care,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
3/13/2024,Johnson Controls Int'l plc,,Information Technology,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
3/12/2024,"Cencora, Inc.",,Information Technology,"Pharmaceuticals, Biotechnology and Life Sciences",Corporate Governance,Require Shareholder Vote on Bylaws,Enhance Majority Vote Standard for Director Elections,Individual,Individual,Kenneth Steiner,0.00
3/12/2024,"Cencora, Inc.",,Consumer Staples,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
3/7/2024,"Applied Materials, Inc.",AMAT,Consumer Discretionary,Specialty Chemicals,Social Policy,Gender/Racial Equality,Racial and Gender Pay Gaps,Social,Socially Responsible Investing Funds,Arjuna Capital,0.21
3/7/2024,"Applied Materials, Inc.",AMAT,Energy,Capital Goods,Social Policy,Lobbying,Transparency in Regard to Lobbying,Individual,Individual,Kenneth Steiner,0.17
3/7/2024,"Applied Materials, Inc.",AMAT,Industrials,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.91
3/5/2024,Qualcomm Inc,QCOM,Materials,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
2/28/2024,Apple Inc.,APPL,Utilities,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Human Rights,Congruency Report on Privacy and Human Rights,Social,Public Policy Interest Groups,National Legal and Policy Center,0.02
2/28/2024,Apple Inc.,APPL,Financials,Software and Services,Social Policy,Artificial Intelligence (AI),Report on Use of AI,Labor,General Private Labor Union Pension Funds,AFL-CIO,0.38
2/28/2024,Apple Inc.,APPL,Materials,Banks,Social Policy,Gender/Racial Equality,Racial and Gender Pay Gaps,Social,Socially Responsible Investing Funds,Arjuna Capital,0.31
2/28/2024,Apple Inc.,APPL,Consumer Discretionary,Retailing,Social Policy,Civil Rights Audit,Report on Ensuring Respect for Civil Liberties,Social,Public Policy Interest Groups,American Family Association,0.02
2/28/2024,Apple Inc.,APPL,Financials,Retailing,Social Policy,Employment Rights,EEO Policy Risk Report,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
2/28/2024,Apple Inc.,APPL,Information Technology,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
2/28/2024,Deere & Co,,Financials,Integrated Oil and Gas,Executive Compensation,Golden Parachutes,Shareholder Ratification of Golden Parachutes,Individual,Individual,John Chevedden,0.38
2/28/2024,Deere & Co,,Materials,Capital Goods,Social Policy,Civil Rights Audit,"Civil Rights, Non-Discrimination, and Return to Merit Audit",Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
2/28/2024,Deere & Co,,Consumer Staples,Specialty Chemicals,Social Policy,Environmental,Customer and Company Sustainability Congruency Report,Social,Public Policy Interest Groups,National Legal and Policy Center,0.02
2/28/2024,Deere & Co,,Financials,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
2/27/2024,StoneX Grp Inc.,,Information Technology,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.98
2/8/2024,"Tyson Foods, Inc.",,Utilities,Media and Entertainment,Social Policy,Environmental,Support Opportunities for a Circular Economy for Packaging,Social,Socially Responsible Investing Funds,As You Sow,0.04
2/8/2024,"Tyson Foods, Inc.",,Consumer Staples,Electric Utilities,Social Policy,Environmental,Request that Company Increase Deforestation Efforts,Social,Socially Responsible Investing Funds,Green Century Capital Management,0.03
2/8/2024,"Tyson Foods, Inc.",,Industrials,Real Estate Investment Trusts,Social Policy,Human Rights,Report on Company's Child Labor Use,Social,Religious Institutions,American Baptist Home Mission Society,0.12
2/8/2024,"Tyson Foods, Inc.",,Materials,Specialty Chemicals,Social Policy,Climate Risk,Report on Corporate Lobbying Alignment with Climate Risks,Social,Religious Institutions,Mercy Investment Services,0.10
2/6/2024,Emerson Electric Co.,,Industrials,Software and Services,Voting Rules,Simple Majority Voting,Simple Majority Vote,Individual,Individual,John Chevedden,0.71
2/6/2024,Emerson Electric Co.,,Health Care,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
